            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458918.500000000, A.D. 2020-Mar-10 00:00:00.0000, -1.467797414944119E+08,  2.789401815209666E+07,  4.583297218067572E+03, -5.873663557024158E+00, -2.940342462376922E+01,  1.531354875352164E-03,  4.983671826823999E+02,  1.494067226828917E+08,  2.808117640304031E-01,
2458919.500000000, A.D. 2020-Mar-11 00:00:00.0000, -1.472652745756511E+08,  2.534964535025400E+07,  4.728225302705541E+03, -5.365310809907959E+00, -2.949274690229456E+01,  1.824167222848061E-03,  4.984486304857684E+02,  1.494311401200622E+08,  2.843671260071168E-01,
2458920.500000000, A.D. 2020-Mar-12 00:00:00.0000, -1.477068281616569E+08,  2.279790503327744E+07,  4.898292942424305E+03, -4.855603500277729E+00, -2.957395689094344E+01,  2.109395154867855E-03,  4.985310591771400E+02,  1.494558516200582E+08,  2.875868762930380E-01,
2458921.500000000, A.D. 2020-Mar-13 00:00:00.0000, -1.481042816272352E+08,  2.023950244044925E+07,  5.091880171682686E+03, -4.344466620786980E+00, -2.964694115210592E+01,  2.365332176507806E-03,  4.986143466625999E+02,  1.494808205800449E+08,  2.903033446087167E-01,
2458922.500000000, A.D. 2020-Mar-14 00:00:00.0000, -1.484575103597193E+08,  1.767515551774786E+07,  5.305691583559848E+03, -3.831886622602063E+00, -2.971152473684686E+01,  2.575279506476846E-03,  4.986983305549653E+02,  1.495059983175696E+08,  2.924066039799581E-01,
2458923.500000000, A.D. 2020-Mar-15 00:00:00.0000, -1.487663917187106E+08,  1.510559869058438E+07,  5.535258862984367E+03, -3.317922856630037E+00, -2.976750698188654E+01,  2.728844719291246E-03,  4.987828256755350E+02,  1.495313293174542E+08,  2.938475314823122E-01,
2458924.500000000, A.D. 2020-Mar-16 00:00:00.0000, -1.490308111391886E+08,  1.253158369536440E+07,  5.775479338428006E+03, -2.802700677345968E+00, -2.981469199283358E+01,  2.821571890985197E-03,  4.988676402583212E+02,  1.495567560897019E+08,  2.946270346691627E-01,
2458925.500000000, A.D. 2020-Mar-17 00:00:00.0000, -1.492506671677239E+08,  9.953878274741277E+06,  6.021076929990668E+03, -2.286395267878345E+00, -2.985290719901612E+01,  2.853656030238128E-03,  4.989525880733007E+02,  1.495822228039563E+08,  2.947798948922424E-01,
2458926.500000000, A.D. 2020-Mar-18 00:00:00.0000, -1.494258750164055E+08,  7.373263782028295E+06,  6.266940504297148E+03, -1.769214618415767E+00, -2.988201056096615E+01,  2.828493613884930E-03,  4.990374959731766E+02,  1.496076775519637E+08,  2.943599866787472E-01,
2458927.500000000, A.D. 2020-Mar-19 00:00:00.0000, -1.495563687890426E+08,  4.790532511563529E+06,  6.508346902015386E+03, -1.251386238835595E+00, -2.990189046171210E+01,  2.751505876400273E-03,  4.991222077866220E+02,  1.496330735147381E+08,  2.934299235804714E-01,
2458928.500000000, A.D. 2020-Mar-20 00:00:00.0000, -1.496421027672826E+08,  2.206485201152489E+06,  6.741099377069157E+03, -7.331486455437370E-01, -2.991246242910839E+01,  2.629358493004830E-03,  4.992065859059377E+02,  1.496583694385292E+08,  2.920552800958602E-01,
